Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Accessibility,Pages,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Document Role,Document Type,Category,Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,first_event_year
general-law-on-climate-change-2023-amended-text_3db4,General Law on Climate Change (2023 Amended Text),general-law-on-climate-change_14c5,General Law on Climate Change,"<p>The approval of the GLCC gives certainty and continuity to climate policy in Mexico and sets the country on a path to a low carbon economy. It establishes the basis for the creation of institutions, legal frameworks and financing to move towards a low carbon economy. As a General Law, it specifies the different responsibilities of the Federation, Mexico's pledge under the Copenhagen Accord, in terms of committing the country to an emissions reduction target of 30% below Business As Usual (BAU) by 2020, subject to the availability of financial resources and technology transfer, as well as 50% GHG emissions reduction by 2050 compared to 2000. <br><br>The Law transforms the National Institute of Ecology into the National Institute of Ecology and Climate Change (INECC). The INECC will be responsible for compiling the National Emissions Inventory, will collaborate in the development of strategies, plans, programmes, instruments and actions related to sustainable development, the environment and climate change, and will help in the evaluation of national climate change policy. Through the Law, the Inter-ministerial Commission on Climate Change (IMCC), initially created by presidential agreement in 2005, is now formally the institution in charge of co-ordinating climate change government actions and formulating and implementing national adaptation and mitigation policies. The GLCC also establishes the National Climate Change System, formed by the IMCC, the INECC, state and municipal governments and representatives of Congress. Its main responsibility will be to co-ordinate the efforts of the Federal Government, states and municipalities. <br><br>Taking into account Mexico's vulnerability to climate impacts, the Law puts a strong emphasis on adaptation measures. The objective is to reduce social and ecosystem vulnerability by strengthening the resilience of natural and human systems to reduce damage and risk. One of the tools to achieve this is the 'Risk Atlas' which includes information about current and future vulnerability scenarios. The GLCC states that the national mitigation policy should include diagnosis, planning, measurement, reporting, verification and assessment of national GHG emissions. The national mitigation strategy will be implemented gradually; initially promoting the strengthening of national capacities and subsequently beginning mitigation activities in the most cost-effective sectors - energy production, transport, agriculture, forests and other land use, waste and industrial processes. <br><br>The GLCC also creates a climate change fund, which will channel public, private, national and international funding projects that simultaneously contribute to adaptation and mitigation actions, such as supporting state-level actions, research and innovation projects, technological development and transfer, and the purchase of Certified Emissions Reductions (CERs). The Law establishes a voluntary market for emissions trading to promote GHG reductions in a cost-effective, verifiable, measurable and reportable manner. The National Climate Change Policy, the Special Programme on Climate Change, and the Special Programme on the Use of Renewable Energy lay down details for the implementation of the Law. <br><br>The law was amended several times (lastly in 2023), important reforms were made in:</p>
<ul>
<li>2014 to establish a tax on fossil fuels;</li>
<li>2016 at article 94 to frame a carbon market. Attached <a href=""http://biblioteca.semarnat.gob.mx/janium/Documentos/Ciga/agenda/DOFsr/DO3452.pdf"" target=""_self"">regulation</a> sets the framework for the accounting of carbon emissions.</li>
<li>2018 by <a href=""http://www.dof.gob.mx/nota_detalle.php?codigo=5531463&fecha=13/07/2018"" target=""_self"">Decree 13/07/2018</a>, notably to initiate a national market of greenhouse gases emissions and to precise the contribution of Mexico within the scope of the Paris Agreement; and</li>
<li>2020 to eliminate the Climate Change Fund.</li>
<li>2023 to introduce an obligation to create a ""National Climate Change Vulnerability Atlas"".</li>
</ul>
",Mexico Framework Law on Climate Change ,,,https://www.diputados.gob.mx/LeyesBiblio/pdf/LGCC.pdf,"Hmmm… can't reach this page
www.diputados.gob.mx took too long to respond",,Spanish,CCLW,MEX,Mexico,2012-06-06 00:00:00+00:00,15/11/2023,Amended;Amended;Passed/Approved,2023-11-15;2022-05-11;2012-06-06,30/11/2023,10/04/2025,CCLW.legislative.1449.6297,CCLW.family.1449.0,CCLW.corpus.i00000001.n0000,CCLW.collection.i00001270.n0000,Main,Law,Legislative,Adaptation;Mitigation,Adaptation;Mitigation,Hurricanes;High Tides;Heat Waves And Heat Stress;Storms;Floods;Cyclones;Fires;Cold Waves;Changes In Average Precipitation;Tsunamis,Agriculture;Buildings;Economy-wide;Energy;Industry;LULUCF;Transport;Waste,Adaptation;Carbon Pricing;Transport;Institutions / Administrative Arrangements;Energy Supply;Research And Development;REDD+ And LULUCF;Energy Demand,"Institutional mandates|Governance;Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",,,,,2012
cabinet-decision-on-the-bill-for-the-act-of-partial-revision-of-the-electricity-business-act-and-other-acts-for-establishing-resilient-and-sustainable-electricity-supply-systems_d8c6,Cabinet Decision on the Bill for the Act of Partial Revision of the Electricity Business Act and Other Acts for Establishing Resilient and Sustainable Electricity Supply Systems,act-on-purchase-of-renewable-energy-sourced-electricity-by-electric-utilities-law-no-108-of-2011_5467,Act on Purchase of Renewable Energy Sourced Electricity by Electric Utilities (Law No. 108 of 2011),"This Act obliges electric utilities to purchase electricity generated from renewable energy sources (solar PV, wind power, hydraulic power, geothermal and biomass) based on a fixed-period contract with a fixed price. Costs incurred by the utility in purchasing renewable energy sourced electricity shall be transferred to all electricity customers, who pay the 'surcharge for renewable energy' in general proportional to electricity usage. Utility companies users that had been severely affected by the 2011 tsunami and earthquakes are exempted.<br>&nbsp;<br>&nbsp;A committee to calculate purchasing price is established under this law, which consists of 5 members with expertise in electricity business and economy, appointed by the Minister of Economy, Trade and Industry upon approval of both chambers of the Parliament.<br><br>The Act was amended on June 12, 2020, by the Act on Partial Amendment of the Electricity Business Act and Other Acts for Establishing Resilient and Sustainable Electricity Supply Systems. This document establishes 1) a Feed-in-Premium (FIP) scheme in addition to the existing FIT scheme 2) a system in which part of the expenditures for fortifying electricity grids necessary for expanding the introduction of renewable energy into businesses, e.g., regional interconnection lines, which regional electricity transmission/distribution businesses bear under the current Act, is to be supported based on the surcharge system across Japan, 3) obligations on renewable energy generators to establish an external reserve fund for the expenditures for discarding their facilities for generating renewable energy as a measure for addressing concerns over inappropriate discarding of PV facilities, 4) the obligation to maintain funds for decommissioning purposes, and 5) a modification of the FIT scheme.<br><br>",,,,https://www.meti.go.jp/english/press/2020/0225_001.html,"Page Not Found
We apologize for the inconvenience. The page you are trying to reach could not be found.
The page may have been moved or deleted.
To find what you are looking for, please try using our site search, or visit our site map.",,English,CCLW,JPN,Japan,2011-08-26 00:00:00+00:00,01/04/2022,Amended;Entered Into Force;Implementation Details;Amended;Passed/Approved,2020-06-12;2012-07-01;2022-04-01;2014-06-18;2011-08-26,30/11/2023,29/10/2024,CCLW.legislative.1409.3879,CCLW.family.1409.0,CCLW.corpus.i00000001.n0000,,Amendment,Decision,Legislative,,Mitigation,,Economy-wide;Energy;Transport,Energy Supply,"Standards, obligations and norms|Regulation;Subsidies|Economic",,,,,2011
forest-act-289-1995-coll_2ac3,Forest Act 289/1995 Coll.,forest-act-289-1995-coll_14cb,Forest Act 289/1995 Coll.,"<p>The purpose of this Act is to establish the prerequisites for the preservation, care and restoration of forests as a national asset, forming an irreplaceable component of the environment, for the fulfillment of all their functions and for the support of sustainable management thereof.</p>
<p>The most important category of the Czech LULUCF sector in terms of greenhouse gas emission balance is forest land. Forestry in the Czech Republic is primarily regulated by the Forest Act 289/1995 Coll. This instrument does not specifically target carbon balance but its provisions affect carbon budget and greenhouse gas emissions and removals indirectly in a number of ways. This act was amended 32 times.</p>",,,Original Language,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Czech+Republic/Forest+act.pdf,Success - Scanned PDF,66 pages,Czech,CCLW,CZE,Czechia,1995-12-15 00:00:00+00:00,01/07/2025,Passed/Approved;Passed/Approved,1995-12-15;2025-07-01,28/11/2025,14/01/2026,CCLW.document.i00006627.n0000,CCLW.family.i00006626.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation,,LULUCF,Forests,,,,https://climate-laws.org/documents/forest-act-289-1995-coll_2ac3,https://climate-laws.org/document/forest-act-289-1995-coll_14cb,1995
electricity-act-2023_88e3,Electricity Act 2023,electricity-act-2023_d80f,Electricity Act 2023,"<p>Nigeria's Electricity Act 2023 repeals the Electric Power Sector Reform Act No. 6 of 2005, and forms a comprehensive updated framework for the operation and development of the power sector. It contains provisions to guide and enhance the integration of renewable generation into the energy mix, actively promoting further research, legal frameworks and investment for renewables.</p>",,,Original Language,https://nemsa.gov.ng/wp-content/uploads/2024/05/ELECTRICITY-ACT-2023.pdf,Success - Scanned PDF,152 pages,English,CCLW,NGA,Nigeria,2023-06-09 00:00:00+00:00,09/06/2023,Passed/Approved,09/06/2023,11/12/2025,11/12/2025,CCLW.document.i00006891.n0000,CCLW.family.i00006890.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation,,Energy,Renewables,,,,https://climate-laws.org/documents/electricity-act-2023_88e3,https://climate-laws.org/document/electricity-act-2023_d80f,2023
law-no-6140-of-december-6-2011_ac52,"LAW No. 6,140, â€‹OF DECEMBER 6, 2011",piaui-climate-law-no-6-140-2011_c590,PiauÃ­ climate law (NO. 6.140/2011),"<p>The state of PiauÃ­ has an overarching climate law, established through State Law 6.140/2011, which sets out the State Policy on Climate Change and Poverty Reduction (PEMCP). This law outlines the main principles, objectives, guidelines, instruments and strategies for climate action in the state, addressing both mitigation and adaptation. It also provides for the development of sectoral plans for mitigation and adaptation, as well as the creation of specific programmes to support the implementation of the policy.</p>",,,Original Language,https://sapl.al.pi.leg.br/media/sapl/public/normajuridica/2011/6193/6140.pdf,Success - Scanned PDF,6 pages,Portuguese,CCLW,BRA,Brazil,2011-12-06 00:00:00+00:00,06/12/2011,Passed/Approved,06/12/2011,28/10/2025,06/11/2025,CCLW.document.i00005961.n0000,CCLW.family.i00005960.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation;Adaptation,,,,,,,https://climate-laws.org/documents/law-no-6140-of-december-6-2011_ac52,https://climate-laws.org/document/piaui-climate-law-no-6-140-2011_c590,2011
disaster-risk-management-act-no-23-of-2019_a7d5,Disaster Risk Management Act no. 23 of 2019,disaster-risk-management-act-no-23-of-2019_3ba6,Disaster Risk Management Act no. 23 of 2019,"<p>The Disaster Risk Management Act no. 23 of 2019 acknowledges climate change as a key natural disaster threat to Vanuatu, and introduces legal provisions for responding to major disasters of any kind. It defines the structure, function and responsibilities of national and subnational committees dedicated to co-ordinating disaster response, and defines a framework for the official declaration of national emergencies. These committees at the provincial and municipal levels are explicitly named 'Disaster and Climate Change Committees', combining climate risk management with general disaster management responsibilities. This act replaces and repeals the National Disaster Act [CAP267].</p>",,,,https://ndmo.gov.vu/images/download/DRMAct2019/DRM_Act_23_of_2019.pdf,Success - Scanned PDF,33 pages,English,CCLW,VUT,Vanuatu,2019-12-23 00:00:00+00:00,23/12/2019,Passed/Approved,23/12/2019,18/08/2025,27/08/2025,CCLW.document.i00004832.n0000,CCLW.family.i00004831.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Disaster Risk Management,,Economy-wide,,,,,https://climate-laws.org/documents/disaster-risk-management-act-no-23-of-2019_a7d5,https://climate-laws.org/document/disaster-risk-management-act-no-23-of-2019_3ba6,2019
general-law-on-mobility-and-road-safety-ley-general-de-movilidad-y-seguridad-vial_9f2e,General Law on Mobility and Road Safety (Ley General de Movilidad y Seguridad Vial),general-law-on-mobility-and-road-safety-ley-general-de-movilidad-y-seguridad-vial_8f25,General Law on Mobility and Road Safety (Ley General de Movilidad y Seguridad Vial),"<p>The General Law on Mobility and Road Safety establishes a comprehensive legal framework to guarantee the constitutional right to mobility across Mexico. It aims to ensure safe, accessible, efficient, sustainable, and inclusive transport systems, considering vulnerable groups. The law sets out principles and responsibilities for federal, state, and municipal authorities, mandating coordinated policy-making through the National Mobility and Road Safety System. It promotes a hierarchy of mobility that prioritises pedestrians, non-motorised transport, and low-emission modes, while integrating mobility planning with urban development, public health, environmental protection, and climate resilience.Sustainability and climate considerations are included to the law's objectives. Authorities are required to reduce the environmental and social impacts of transport by encouraging cleaner technologies, reducing dependence on fossil fuels, and promoting resilient infrastructure. The law explicitly links transport policy with climate change mitigation and adaptation strategies, and mandates demand management measures to discourage the use of polluting and inefficient modes of transport. In doing so, it contributes to broader efforts to reduce greenhouse gas emissions and to ensure intergenerational equity in access to mobility and environmental quality.</p>",,,Original Language,https://www.diputados.gob.mx/LeyesBiblio/pdf/LGMSV.pdf,"Hmmm… can't reach this page
www.diputados.gob.mx took too long to respond",,Spanish,CCLW,MEX,Mexico,2023-12-29 00:00:00+00:00,29/12/2023,Passed/Approved,29/12/2023,17/08/2025,18/08/2025,CPR.document.i00006397.n0000,CPR.family.i00006396.n0000,CCLW.corpus.i00000001.n0000,,Main,Law,Legislative,,Mitigation;Adaptation,,Transport,Multi-Modal Transport;Innovation;Mitigation,,,,https://climate-laws.org/documents/general-law-on-mobility-and-road-safety-ley-general-de-movilidad-y-seguridad-vial_9f2e,https://climate-laws.org/document/general-law-on-mobility-and-road-safety-ley-general-de-movilidad-y-seguridad-vial_8f25,2023
bahamas-protected-areas-fund-act-chapter-255a_3fd2,Bahamas Protected Areas Fund Act (Chapter 255A),bahamas-protected-areas-fund-act-chapter-255a_30b3,Bahamas Protected Areas Fund Act (Chapter 255A),"<p>This Act provides for the establishment and regulation of the Bahamas Protected Areas Fund, which protects designated areas such as fisheries resource areas, forest reserves, and wild bird protected areas.</p>
<p>The Fund's purpose is to ensure sustainable financing into perpetuity for the management of protected areas, for scientific and policy research and education, and conservation and management of protected areas nad rpograms established for any area which may be designated to give effect to the ultimate objective of the UNFCCC and any other relevant multilateral environmental agreement or International Convention to which The Bahamas is a signatory or may become a signatory for adaptation to and mitigating the adverse effects of climate change.</p>
<p>The Act contains provisions on the composition of the Bord of Directors; revenue, accounts and audit; and methods of dissolution of the Fund and bye-laws of the Board.</p>",,,Original Language,https://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2014/2014-0028/2014-0028.pdf,Success - Direct PDF,18 pages,English,CCLW,BHS,Bahamas,2014-07-07 00:00:00+00:00,07/07/2014,Passed/Approved,07/07/2014,07/08/2025,11/08/2025,CCLW.document.i00004625.n0000,CCLW.family.i00004624.n0000,CCLW.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation;Adaptation,,Finance,Climate Finance,,,,https://climate-laws.org/documents/bahamas-protected-areas-fund-act-chapter-255a_3fd2,https://climate-laws.org/document/bahamas-protected-areas-fund-act-chapter-255a_30b3,2014
act-10963-tax-reform-for-acceleration-and-inclusion-train-act_282c,Act 10963 - Tax Reform for Acceleration and Inclusion (TRAIN) Act ,act-10963-tax-reform-for-acceleration-and-inclusion-train-act_a4ff,Act 10963 - Tax Reform for Acceleration and Inclusion (TRAIN) Act ,"<p>The Act raises taxes on coal from 0.19 US cents in 2017 to 2.85 USD cents per metric tonne in 2020 (source: Climate Action Tracker, https://climateactiontracker.org/countries/philippines/current-policy-projections/).</p>",,,Original Language,https://www.dof.gov.ph/download/ra-10963-train-law/?wpdmdl=20619&refresh=68500db05806f1750076848,Success - Scanned PDF,54 pages,English,CPR,PHL,Philippines,2017-12-19 00:00:00+00:00,19/12/2017,Passed/Approved,19/12/2017,16/06/2025,17/06/2025,CPR.document.i00006234.n0000,CPR.family.i00001129.n0000,CPR.corpus.i00000001.n0000,,Main,Act,Legislative,,Mitigation,,Energy,Electricity;Heat;Coal;Finance;Climate Finance;Renewables;Mitigation,"Processes, plans and strategies|Governance;Tax incentives|Economic;Climate finance tools|Economic",,,https://climate-laws.org/documents/act-10963-tax-reform-for-acceleration-and-inclusion-train-act_282c,https://climate-laws.org/document/act-10963-tax-reform-for-acceleration-and-inclusion-train-act_a4ff,2017
carbon-tax-act-regulations_00c0,Carbon Tax Act Regulations,carbon-offset-regulations_1cbc,Carbon Offset Regulations,"<p>The Carbon Offset Regulations are linked to Section 19c of the Carbon Tax Act 2019, and details the eligibility of carbon credit projects or activities, limitations, processes and institutional responsibilities for use of the Act's carbon ""offset"" allowance. The carbon tax can be offset by retiring domestic carbon offsets only. This offset allowance is capped at either 5% or 10% depending on the IPCC activity/sector, as identified in Schedule 2 of the Carbon Tax Act (2019). The offset use allowance will be increased by 5 percentage points from 2026 to encourage investment in low-carbon projects.</p>
<p>Eligible Standards and Project Types</p>
<ul>
<li>Carbon offset projects must be verified under the Verified Carbon Standard (VCS), Gold Standard (GS), or the Clean Development Mechanism (CDM).</li>
<li>All projects in the AFOLU, waste, and transportation sectors.</li>
<li>All community-based energy efficiency projects.</li>
<li>Energy efficiency and co-generation projects which do not also generate thermal energy implemented on activities that are covered by the carbon tax resulting in reduced fuel consumption.</li>
<li>All small-scale renewable energy (RE) projects up to 15 MW for both the Renewable Energy Independent Power Producers Procurement Programme (REIPPPP) and non-REIPPPP projects.</li>
<li>For projects greater than 15 MW, either from the REIPPPP from Bidding Round 3 onwards or from non-REIPPPP projects, provided that their tariff, as per the signed PPA, is above R1.09/kWh.</li>
<li>RE projects of any size under the REIPPPP signed after May 9, 2013.</li>
</ul>",,,Original Language,https://carbon.energy.gov.za/Documents/Docs/2019%20Carbon%20Offset%20Regulations.pdf,"Website Relocation Notice
This website (carbon.energy.gov.za) is no longer active.

All services and information previously available on this ",,Afrikaans;English,CPR,ZAF,South Africa,2019-11-29 00:00:00+00:00,29/11/2019,Passed/Approved,29/11/2019,30/01/2025,04/03/2025,CPR.document.i00003075.n0000,CPR.family.i00003074.n0000,CPR.corpus.Goldstandard.n0000,,Main,Regulation,Legislative,,,,,,,,,https://climate-laws.org/documents/carbon-tax-act-regulations_00c0,https://climate-laws.org/document/carbon-offset-regulations_1cbc,2019
